t;x
0.000;3,10E-02
3,33E-02;4,35E-02
6,67E-02;7,48E-02
0,1;0,1
0,133;0,123
0,167;0,145
0,2;0,167
0,233;0,187
0,267;0,203
0,3;0,219
0,333;0,233
0,367;0,25
0,4;0,265
0,433;0,279
0,467;0,294
0,5;0,307
0,533;0,32
0,567;0,331
0,6;3,43E-01
0,633;3,62E-01
0,667;3,74E-01
0,7;3,88E-01
0,733;3,97E-01
0,767;4,05E-01
0,8;4,16E-01
0,833;4,30E-01
0,867;4,52E-01
