t,x,y,vx,vy,speed
98.33729600906372,470,494,0,-5,5.0
98.50381207466125,470,487,0,-42,42.0
98.67220902442932,473,483,17,-23,28.600699292150182
98.83949422836304,486,472,77,-65,100.7670581092849
98.99377298355103,512,442,168,-194,256.632032295269
99.14005398750305,529,439,116,-20,117.71151175649729
99.2965669631958,545,439,102,0,102.0
99.46616792678833,550,435,29,-23,37.013511046643494
99.63396716117859,555,443,29,47,55.226805085936306
99.80485796928406,559,447,23,23,32.526911934581186
99.9706962108612,559,444,0,-18,18.0
100.13709211349487,554,439,-30,-30,42.42640687119285
100.31620025634766,538,435,-89,-22,91.67878707749138
100.48639416694641,517,432,-123,-17,124.16923934694937
100.61240601539612,507,430,-79,-15,80.4114419718985
100.73783016204834,498,435,-71,39,81.00617260431454
100.9043459892273,488,447,-60,72,93.72299611087985
101.04005193710327,480,459,-58,88,105.39449701004318
101.20798993110657,488,470,47,65,80.2122185206219
101.40313410758972,505,476,87,30,92.02716990106781
101.55060124397278,509,475,27,-6,27.65863337187866
101.70877623558044,515,473,37,-12,38.897300677553446
101.84701800346375,521,470,43,-21,47.853944456021594
102.0160300731659,525,467,23,-17,28.600699292150182
102.2177140712738,530,468,24,4,24.331050121192877
102.37025618553162,554,478,157,65,169.9235122047564
102.53677725791931,569,476,90,-12,90.79647570252934
102.67249417304993,568,460,-7,-117,117.2092146548214
102.84924006462097,544,432,-135,-158,207.81963333621778
103.01513314247131,513,424,-186,-48,192.09372712298546
103.17495322227478,492,425,-131,6,131.13733259449805
103.34131407737732,474,443,-108,108,152.73506473629428
103.51059818267822,466,468,-47,147,154.33081351434652
103.68049001693726,465,486,-5,105,105.11898020814318
103.83785486221313,478,494,82,50,96.04165762834376
103.98057913780212,492,489,98,-35,104.06248123122954
104.14728307723999,507,460,89,-173,194.5507645834372
104.30560302734375,512,437,31,-145,148.2767682410161
104.47010517120361,515,420,18,-103,104.5609869884557
104.63743901252747,513,407,-11,-77,77.78174593052023
104.8092589378357,509,409,-23,11,25.495097567963924
104.9861969947815,494,435,-84,146,168.43990026119107
105.17007994651794,485,464,-48,157,164.17368851311102
105.3373851776123,480,481,-29,101,105.08092119885512
105.48093318939209,476,496,-27,104,107.44766167767449
105.6473331451416,475,503,-6,42,42.42640687119285
105.80754923820496,486,479,68,-149,163.783393541592
105.97560811042786,502,447,95,-190,212.42645786248002
106.16041111946106,514,428,64,-102,120.41594578792295
106.31306910514832,530,398,104,-196,221.8828519737386
106.47061491012573,542,378,76,-126,147.14618581533128
106.65454506874084,542,375,0,-16,16.0
106.8092908859253,528,395,-90,129,157.29272074701996
106.98597025871277,517,423,-62,158,169.72919607421701
107.15136909484863,511,445,-36,133,137.78606605894515
107.31216096878052,502,467,-55,136,146.70037491431302
107.48275017738342,492,492,-58,146,157.09869509324386
107.65186619758606,484,495,-47,17,49.9799959983992
107.81082320213318,489,468,31,-169,171.81967291320282
107.94972515106201,497,442,57,-187,195.49424543960367
108.10921120643616,497,426,0,-100,100.0
108.28754615783691,495,427,-11,5,12.083045973594572
108.44477891921997,488,439,-44,76,87.8179936004006
108.60375809669495,485,440,-18,6,18.973665961010276
108.77420425415039,489,438,23,-11,25.495097567963924
108.95271015167236,483,458,-33,112,116.76043850551436
109.12025499343872,467,488,-95,179,202.64747716169575
109.27917313575745,452,499,-94,69,116.60617479361889
109.44690704345703,448,479,-23,-119,121.2023102090055
109.61431384086609,462,454,83,-149,170.55790805471318
109.78078007698059,485,431,138,-138,195.16147160748713
109.947909116745,507,413,131,-107,169.14490828872147
110.11734294891357,530,410,135,-17,136.06616037795732
110.28575420379639,547,421,100,65,119.26860441876563
110.45732617378235,547,447,0,151,151.0
110.61298298835754,529,475,-115,179,212.7580785775243
110.78046989440918,495,486,-203,65,213.15252754776333
110.9481360912323,457,477,-226,-53,232.13142829009604
111.1162850856781,460,454,17,-136,137.05838172107534
111.28397798538208,483,430,137,-143,198.0353503796734
111.46385502815247,509,424,144,-33,147.73286702694156
111.62248492240906,560,422,321,-12,321.22422075553396
111.77719330787659,585,439,161,109,194.42736432920137
111.94891214370728,565,469,-116,174,209.1219739769114
112.11780309677124,533,476,-189,41,193.3959668659096
112.28764319419861,506,460,-158,-94,183.84776310850236
112.48148608207703,467,442,-201,-92,221.05429197371402
112.64816927909851,450,426,-101,-95,138.6578522839583
112.85249614715576,466,425,78,-4,78.10249675906654
113.02172112464905,495,429,171,23,172.53985046939155
113.17750811576843,528,429,211,0,211.0
113.32128930091858,551,420,159,-62,170.66048165876012
113.48857688903809,560,399,53,-125,135.77186748365804
113.67887711524963,543,387,-89,-63,109.04127658827184
113.85694622993469,522,395,-117,44,125.0
114.02624917030334,501,407,-124,70,142.3938200906205
114.1870231628418,483,425,-111,111,156.97770542341354
114.3314790725708,475,441,-55,110,122.98373876248843
114.48844623565674,472,467,-19,165,166.0903368652132
114.65464210510254,477,484,1,102,102.00490184299969
114.81204128265381,491,472,2391,-76,2392.207557884558
114.96528315544128,501,444,65,-182,193.25889371514057
115.15755009651184,513,413,62,-161,172.52536045462998
115.31573295593262,520,397,44,-101,110.16805344563369
115.48411011695862,520,390,0,-41,41.0
115.65469098091125,515,404,-29,82,86.97700845625813
115.85485887527466,498,438,-84,169,188.7246671741667
116.01768803596497,491,464,-42,159,164.45364088398895
116.18495416641235,484,478,-41,83,92.57429448826494
116.36663699150085,483,475,-5,-16,16.76305461424021
116.52154016494751,487,446,25,-187,188.66372200293304
116.68080997467041,492,426,31,-125,128.7866452703851
116.85014295578003,498,409,35,-100,105.94810050208545
